W;S;OT;WT;G;LM;OM3
3;8617;523,6;14452,55556;0;0;0
3;8617;493,5;7452,375;0;0;0
3;8617;354,72;17753,55556;0;0;0
3;8617;579;13152,125;0;0;0
3;8617;394,4;17998,88889;0;0;0
3;8617;300;12940,375;0;0;0
3;8617;301,6;14643,33333;0;0;0
3;8617;564;10136,875;0;0;0
3;8617;497,6;19240;0;0;0
3;8617;802,5;8446,375;0;0;0
3;8617;516,8;14322,22222;0;0;0
3;8617;894;12964;0;0;0
3;8617;224,8;15973,33333;0;0;0
3;8617;2280;168,35;0;0;0
3;8617;681,6;439,2222222;0;0;0
3;8617;747,45;4063,4125;0;0;0
3;8617;1028,64;4379,111111;0;0;0
3;8617;1575,9;9676,3625;0;0;0
3;8617;425,04;16228,44444;0;0;0
3;8617;971,85;10066,6125;0;0;0
3;8617;380,48;13839,33333;0;0;0
3;8617;732,45;11574,5875;0;0;0
3;8617;260;14054,44444;0;0;0
3;8617;1446;12258,75;0;0;0
3;8617;912;11306,75;0;0;0
3;8617;268;14137,77778;0;0;0
3;8617;600;10912,125;0;0;0
3;8617;568;11964,44444;0;0;0
3;8617;1918,5;8827;0;0;0
3;8617;563,2;15555,55556;0;0;0
3;8617;3834;137,4625;0;0;0
3;8617;431,12;14818,88889;0;0;0
3;8617;504;13670,125;0;0;0
3;8617;853,6;12494,44444;0;0;0
3;8617;1507,5;12735,625;0;0;0
3;8617;558,32;500,8888889;0;0;0
3;8617;973,35;10990,35;0;0;0
3;8617;834,96;15704,33333;0;0;0
3;8617;849;11690,875;0;0;0
3;8617;479,44;13146,66667;0;0;0
3;8617;1176,3;11176,725;0;0;0
3;8617;533,28;14053,66667;0;0;0
3;8617;16467;124416,25;0;0;0
3;8617;6594,56;184013,2222;0;0;0
3;8617;157,6;13311,11111;0;0;0
3;8617;528;12432,875;0;0;0
3;8617;1595,12;1506,444444;0;0;0
3;8617;838,65;11483,15;0;0;0
3;8617;434,24;15784,88889;0;0;0
3;8617;909;8791,125;0;0;0
3;8617;488,8;15066,66667;0;0;0
3;8617;794,1;10850,4375;0;0;0
3;8617;281,6;7483,333333;0;0;0
3;8617;937,5;11297,125;0;0;0
3;8617;481,6;13924,44444;0;0;0
3;8617;1062;12121,375;0;0;0
3;8617;455,2;15827,77778;0;0;0
3;8617;823,5;11284,7875;0;0;0
3;8617;622,88;14870,33333;0;0;0
3;8617;554,25;11055,7125;0;0;0
3;8617;382,48;15402,11111;0;0;0
3;8617;853,5;12247,375;0;0;0
3;8617;450,64;15523,11111;0;0;0
3;8617;1341;353,0625;0;0;0
3;8617;185,6;6884,444444;0;0;0
3;8617;3639,75;225,925;0;0;0
3;8617;5134,96;185693,2222;0;0;0
3;8617;4480;174703,3333;0;0;0
3;8617;21631,2;10605,875;0;0;0
3;8617;19505,4;62114,85;0;0;0
3;8617;5929,6;171968,8889;0;0;0
3;8617;21934,95;1087,5375;0;0;0
3;8617;4428,96;178178,5556;0;0;0
3;8617;552,8;17045,55556;0;0;0
3;8617;589,5;11813,375;0;0;0
3;8617;1063,52;344,8888889;0;0;0
3;8617;663;9268;0;0;0
3;8617;173,6;16550;0;0;0
3;8617;835,2;11284,2625;0;0;0
3;8617;1283,28;4115,222222;0;0;0
3;8617;688,5;9830,275;0;0;0
3;8617;292,48;16038,22222;0;0;0
3;8617;995,4;12296,025;0;0;0
3;8617;856,88;15767,33333;0;0;0
3;8617;1012,35;12149,2;0;0;0
3;8617;780,8;14267,77778;0;0;0
3;8617;943,95;13375,8625;0;0;0
18;8602;0;2,1;0;0;0
18;8602;0;10,14444444;0;0;0
18;8602;26,92;15,71111111;0;0;0
18;8602;53,04;4,688888889;0;0;0
18;8602;23,768;16,86666667;0;0;0
18;8602;18;44,625;0;0;0
18;8602;0;5,344444444;0;0;0
18;8602;0;52,49125;0;0;0
18;8602;329,592;24,47777778;0;0;0
18;8602;239,184;33,34444444;0;0;0
18;8602;0;193,3222222;0;0;0
18;8602;0;15,37777778;0;0;0
18;8602;0;10,45555556;0;0;0
18;8602;0;2,1525;0;0;0
18;8602;21,392;9,377777778;0;0;0
18;8602;9,6;61,11111111;0;0;0
18;8602;0;4,111111111;0;0;0
18;8602;0;4,87375;0;0;0
18;8602;11,2;64,44444444;0;0;0
18;8602;19,5;52,5;0;0;0
18;8602;11,2;47,77777778;0;0;0
18;8602;28,2;1,7325;0;0;0
18;8602;0;10,84444444;0;0;0
18;8602;0;2,5375;0;0;0
18;8602;0;2,3275;0;0;0
18;8602;30,088;8,822222222;0;0;0
18;8602;27,976;5,122222222;0;0;0
18;8602;16,83;0,07;0;0;0
18;8602;29,832;4,933333333;0;0;0
18;8602;0;17,52222222;0;0;0
18;8602;0;4,8475;0;0;0
18;8602;0;10,45555556;0;0;0
18;8602;18;48,125;0;0;0
18;8602;2,96;5,055555556;0;0;0
18;8602;0;7,5075;0;0;0
18;8602;12,8;74,44444444;0;0;0
18;8602;9,24;3,92875;0;0;0
18;8602;0;2,275;0;0;0
18;8602;0;18,10375;0;0;0
18;8602;0;2,833333333;0;0;0
18;8602;82,65;20,39625;0;0;0
18;8602;48,56;9,722222222;0;0;0
18;8602;0;15,54444444;0;0;0
18;8602;14;9,188888889;0;0;0
18;8602;292,485;104,1425;0;0;0
18;8602;41,6;882,2222222;533,75;685,8333333;59,0625
18;8602;364,5;92,75875;0;0;0
18;8602;49,5;64,75;353,3333333;134,4;25,33333333
18;8602;23,2;181,1111111;303,75;158,3333333;32,8125
18;8602;85,5;110,25;617,3333333;228;44
18;8602;68;297,7777778;0;0;0
18;8602;0;26,25875;0;0;0
18;8602;0;195,5444444;0;0;0
18;8602;60;378,8888889;0;0;0
18;8602;411,992;132,2333333;0;0;0
18;8602;54,93;5,53;0;0;0
18;8602;40,08;3,08;0;0;0
18;8602;7,02;3,71875;0;0;0
18;8602;4;21,11111111;0;0;0
18;8602;21;39,375;0;0;0
18;8602;0;17,52222222;0;0;0
18;8602;16,104;1,722222222;0;0;0
18;8602;32,67;2,9225;0;0;0
18;8602;9,776;8,888888889;0;0;0
18;8602;0;39,04444444;0;0;0
18;8602;19,785;0,385;0;0;0
18;8602;40,92;8,522222222;0;0;0
18;8602;27,24;7,8225;0;0;0
18;8602;13,6;77,77777778;0;0;0
18;8602;24;55,125;0;0;0
18;8602;5,6;31,11111111;0;0;0
18;8602;38,625;9,31875;0;0;0
18;8602;32,175;14,90125;0;0;0
18;8602;0;8,566666667;0;0;0
18;8602;0;3,9375;0;0;0
18;8602;0;3,955555556;0;0;0
18;8602;18,795;0,3675;0;0;0
18;8602;7,656;0,344444444;0;0;0
18;8602;0;2,4325;0;0;0
18;8602;31,68;1,39125;0;0;0
18;8602;28;19,97777778;0;0;0
18;8602;0,8;192,2222222;1,25;140;0,9375
18;8602;31,152;4,911111111;0;0;0
18;8602;12;51,11111111;0;0;0
18;8602;0;26,01375;0;0;0
18;8602;0;3,088888889;0;0;0
18;8602;0;2,835;0;0;0
18;8602;0;4,19125;0;0;0
18;8602;12,816;18,53333333;0;0;0
18;8602;0;5,233333333;0;0;0
18;8602;52,455;1,89;0;0;0
18;8602;0;1,925;0;0;0
18;8602;0;0,388888889;0;0;0
18;8602;21;49,875;0;0;0
18;8602;0;3,222222222;0;0;0
18;8602;17,16;8,544444444;0;0;0
18;8602;0;29,295;0;0;0
18;8602;136,5;321,125;0;0;0
18;8602;127,5;346,5;0;0;0
18;8602;0;76,66666667;0;0;0
18;8602;0;2,835;0;0;0
18;8602;16;118,8888889;211,25;105,8333333;22,5
18;8602;0;5,955555556;0;0;0
18;8602;0;9,522222222;0;0;0
18;8602;19,5;65,625;0;0;0
18;8602;19,792;0,9;0;0;0
18;8602;43,816;24,61111111;0;0;0
18;8602;114,315;11,40125;0;0;0
18;8602;0,8;208,8888889;15;150;1,875
18;8602;0;2,144444444;0;0;0
18;8602;22,5;40,25;0;0;0
18;8602;0;15,71111111;0;0;0
18;8602;0;4,0775;0;0;0
18;8602;59,35935443;76,95944045;0;156,8740669;30,49934717
18;8602;1,5498;270,2583333;0;197,7057015;2,099620665
18;8602;0,573125;190,3252604;0;252,7208791;0,294476557
18;8602;0,168;263,7666667;0;191,3375778;0,227601156
18;8602;31,9464;245,2433333;0;216,1836587;43,27998555
18;8602;8,46;5857,971;0;7769,93906;4,346820809
18;8602;100,5093232;128,233292;0;262,8723487;51,64255526
18;8602;54,20146667;1168,005648;0;911,6524202;73,4304552
18;8602;15,2;86,66666667;0;0;0
18;8602;0;6,455555556;0;0;0
18;8602;81,15;2,14375;0;0;0
18;8602;21,12;0,533333333;0;0;0
18;8602;0;8,02375;0;0;0
18;8602;0;5,022222222;0;0;0
18;8602;25,072;4,588888889;0;0;0
18;8602;28,2;17,71111111;0;0;0
18;8602;21,94665;65,10965278;0;73,60991793;29,73263638
18;8602;4,512;7438,693333;0;5395,791014;6,112716763
18;8602;37,93425;115,805375;0;188,5318154;19,49094412
18;8602;0;1,677777778;0;0;0
18;8602;25,245;2,45;0;0;0
18;8602;0;11,86666667;0;0;0
18;8602;17,82;0,74375;0;0;0
18;8602;17,168;10,3;0;0;0
18;8602;0;4,288888889;0;0;0
18;8602;0;2,5375;0;0;0
18;8602;0;3,344444444;0;0;0
18;8602;23,265;0,84;0;0;0
18;8602;0;6,455555556;0;0;0
18;8602;18;49;0;0;0
18;8602;2,97;1,1025;0;0;0
18;8602;0;2,80875;0;0;0
18;8602;102,915;2,56375;0;0;0
18;8602;0;3,185;0;0;0
18;8602;0;15,93375;0;0;0
18;8602;13,208;5,022222222;0;0;0
18;8602;12;75,55555556;0;0;0
18;8602;21;39,375;0;0;0
18;8602;0;63,8;0;0;0
18;8602;40,095;1,60125;0;0;0
18;8602;18,144;13,73333333;0;0;0
18;8602;5,175;1,19;0;0;0
18;8602;19,2;57,77777778;247,5;65;26,25
18;8602;14,4;77,77777778;0;0;0
18;8602;61,224;4,3;0;0;0
18;8602;38,595;3,6225;0;0;0
18;8602;33,256;7,744444444;0;0;0
18;8602;22,29;2,9225;0;0;0
18;8602;18,344;11,54444444;0;0;0
18;8602;9,6;74,44444444;0;0;0
18;8602;29,58;14,00875;0;0;0
18;8602;27,21;1,715;0;0;0
18;8602;0;2,75625;0;0;0
18;8602;18,224;5,688888889;0;0;0
3;8617;1568,8;9246,666667;0;0;0
3;8617;1929;12594,75;0;0;0
3;8617;592,5;10901,625;0;0;0
3;8617;351,2;12455,55556;0;0;0
3;8617;825;11991,875;0;0;0
3;8617;107,2;9052,222222;0;0;0
3;8617;2139,15;22133,3875;0;0;0
3;8617;1626,75;13497,1375;0;0;0
3;8617;405,6;16243,11111;0;0;0
3;8617;1026,3;10679,025;0;0;0
3;8617;728,24;12659,88889;0;0;0
3;8617;1245,45;11728,675;0;0;0
3;8617;417,04;16447,66667;0;0;0
3;8617;1252,5;11123,875;0;0;0
3;8617;159,2;13434,44444;0;0;0
18;8602;11,608;0,533333333;0;0;0
18;8602;9,6;58,88888889;0;0;0
18;8602;0,8;181,1111111;2,5;131,6666667;0,9375
18;8602;0;2,75625;0;0;0
18;8602;0;16,18888889;0;0;0
18;8602;9,6;60;0;0;0
18;8602;19,5;37,625;0;0;0
18;8602;0;15,37777778;0;0;0
18;8602;26,745;11,64625;0;0;0
18;8602;0;8,577777778;0;0;0
2;8618;56;447,7777778;690;362,5;73,125
171;8449;35,2;3,333333333;441,25;43,33333333;45,9375
171;8449;52,5;0,875;350,6666667;48;26
171;8449;45,6;4,444444444;631,25;56,66666667;60
171;8449;54,4;5,555555556;712,5;68,33333333;72,1875
171;8449;52,8;5,555555556;717,5;65,83333333;70,3125
171;8449;38,4;7,777777778;371,25;50,83333333;50,625
171;8449;43,2;23,33333333;888,75;67,5;57,1875
171;8449;2,4;1,111111111;0;0;0
171;8449;75,2;10;1010;95;98,4375
171;8449;105;3,5;810,6666667;98,4;52
171;8449;91,5;14,875;1004;100,8;45,33333333
171;8449;6;0,875;0;0;0
171;8449;17,92;0;0;0;0
171;8449;18,75;0,525;0;0;0
171;8449;6,48;0,333333333;0;0;0
171;8449;6,4;0;0;0;0
171;8449;17,6;1,111111111;218,75;21,66666667;23,4375
171;8449;15,2;4,444444444;197,5;21,66666667;20,625
171;8449;84;17,5;1198,666667;98,4;42
171;8449;7,2;0;0;0;0
171;8449;3,2;1,111111111;0;0;0
171;8449;12;0,35;0;0;0
171;8449;13,6;0;0;0;0
171;8449;15;0;0;0;0
171;8449;36;5,555555556;477,5;46,66666667;47,8125
