W;S;OT;WT;G;LM;OM3
2;8618;202,5;405,125;1438,666667;673,2;100,6666667
2;8618;20,8;285,5555556;266,25;229,1666667;29,0625
2;8618;66;399;441,3333333;543,6;32,66666667
2;8618;34,4;815,5555556;450;588,3333333;45
2;8618;757,65;27,475;0;0;0
2;8618;42,4;152,2222222;0;0;0
2;8618;70,5;70,875;0;0;0
2;8618;12;68,88888889;0;0;0
2;8618;381,9;118,0375;0;0;0
2;8618;39,52;46,88888889;0;0;0
2;8618;91,5;169,75;0;0;0
2;8618;46,4;250;0;0;0
2;8618;220,2;65,625;0;0;0
2;8618;45,6;195,5555556;0;0;0
2;8618;69;85,75;0;0;0
2;8618;65,6;73,33333333;0;0;0
2;8618;72;99,75;0;0;0
2;8618;28;135,5555556;0;0;0
2;8618;70,5;166,25;557,3333333;264;34,66666667
2;8618;48,8;324,4444444;610;271,6666667;63,75
2;8618;94,5;281,75;674,6666667;426;46,66666667
2;8618;65,6;468,8888889;818,75;386,6666667;85,3125
2;8618;109,5;347,375;740;520,8;54,66666667
2;8618;14,4;301,1111111;185;219,1666667;18,75
2;8618;0;193,375;0;237,6;0
2;8618;0,8;115,5555556;1,25;78,33333333;0,9375
2;8618;1462,8;34,3875;0;0;0
2;8618;72;265,5555556;0;0;0
2;8618;39;63,875;0;0;0
2;8618;32,8;108,8888889;0;0;0
2;8618;69;98,875;0;0;0
2;8618;47,2;105,5555556;0;0;0
2;8618;417,3;131,8625;0;0;0
2;8618;23,2;191,1111111;0;0;0
2;8618;67,5;148,75;0;0;0
2;8618;37,6;201,1111111;0;0;0
2;8618;1121,25;6,65;0;0;0
2;8618;106,96;86,88888889;0;0;0
2;8618;122,85;39,9875;0;0;0
2;8618;112,24;86,44444444;0;0;0
2;8618;215,7;88,55;0;0;0
2;8618;38,4;120;0;0;0
2;8618;79,5;98,875;0;0;0
2;8618;29,6;125,5555556;0;0;0
2;8618;1473;3356,5;10265,33333;5389,2;730,6666667
2;8618;620,8;4867,777778;7772,5;3952,5;810,9375
2;8618;846;1310,75;0;0;0
2;8618;1754,25;328,3;0;0;0
2;8618;304,5;2554,125;2297,333333;3409,2;150
2;8618;1985,84;1620,555556;0;0;0
2;8618;1104;3694,25;7873,333333;5508;550
2;8618;1299,6;1038,333333;0;0;0
2;8618;5591,2;609,4444444;0;0;0
2;8618;6785,4;29,1375;0;0;0
2;8618;340;5416,666667;4472,5;4036,666667;444,375
2;8618;1291,5;4210,5;9122,666667;6261,6;639,3333333
2;8618;54;164,5;426,6666667;247,2;26,66666667
2;8618;67,2;327,7777778;828,75;295,8333333;88,125
2;8618;132;511;974,6666667;745,2;65,33333333
2;8618;56,8;683,3333333;771,25;525,8333333;74,0625
2;8618;52;796,6666667;696,25;595,8333333;67,5
2;8618;192,15;60,2875;0;0;0
2;8618;21,6;83,33333333;0;0;0
2;8618;66;142,625;522,6666667;231,6;32,66666667
2;8618;34,4;205,5555556;428,75;176,6666667;45
2;8618;150;288,75;1049,333333;484,8;74,66666667
2;8618;63,2;417,7777778;771,25;350,8333333;83,4375
2;8618;84;418,25;624;582;41,33333333
